distance-to-solar-noon,humidity,sky-cover,average-wind-speed-(period),wind-direction,average-pressure-(period)
0.939534884,90.0,2,14.0,29,30.18
1.0155521,96.0,2,14.0,29,30.18
0.7356143079999999,100.0,1,9.0,29,30.19
0.455676516,96.0,3,5.0,29,30.22
0.175738725,93.0,4,0.0,29,30.22
0.1041990669999999,72.0,1,20.0,29,30.17
0.3841368579999999,65.0,1,15.0,29,30.14
0.66407465,90.0,1,17.0,29,30.14
0.944012442,93.0,1,10.0,29,30.14
1.018720749,96.0,1,8.0,30,30.1
0.737909516,100.0,1,7.0,30,30.06
0.4570982839999999,100.0,1,9.0,30,30.08
0.176287051,83.0,3,3.0,30,30.07
0.104524181,78.0,3,5.0,30,29.99
0.3853354129999999,70.0,2,9.0,30,29.94
0.6661466460000001,90.0,2,11.0,30,29.94
0.946957878,93.0,2,9.0,30,29.96
1.021909233,83.0,3,3.0,16,29.93
0.740219092,90.0,3,5.0,16,29.87
0.458528951,86.0,3,0.0,16,29.85
0.176838811,84.0,4,0.0,16,29.9
0.10485133,68.0,4,17.0,16,29.87
0.386541471,84.0,4,8.0,16,29.88
0.668231612,75.0,4,0.0,16,29.94
0.949921753,70.0,3,23.0,16,29.93
1.025117739,63.0,3,13.0,15,30.0
0.7425431709999999,84.0,4,15.0,15,30.03
0.459968603,90.0,4,6.0,15,30.09
0.177394035,87.0,4,6.0,15,30.13
0.105180534,61.0,3,18.0,15,30.1
0.387755102,57.0,4,15.0,15,30.08
0.67032967,59.0,3,21.0,15,30.08
0.952904239,78.0,3,11.0,15,30.06
1.029968454,75.0,3,9.0,16,30.03
0.746056782,84.0,4,7.0,16,29.99
0.46214511,90.0,4,14.0,16,29.97
0.178233438,87.0,4,15.0,16,29.99
0.105678233,90.0,4,15.0,16,29.93
0.389589905,87.0,4,15.0,16,29.88
0.673501577,87.0,4,14.0,16,29.9
0.957413249,93.0,4,9.0,16,29.93
0.938291139,90.0,4,9.0,23,29.93
0.6534810129999999,90.0,3,5.0,23,29.96
0.368670886,90.0,2,9.0,23,30.02
0.083860759,78.0,3,0.0,23,30.07
0.200949367,68.0,3,14.0,23,30.07
0.4857594939999999,73.0,2,13.0,23,30.06
0.77056962,87.0,3,3.0,23,30.06
1.055379747,83.0,2,5.0,23,30.07
0.941269841,86.0,2,0.0,20,30.06
0.655555556,90.0,3,3.0,20,30.02
0.36984127,83.0,3,5.0,20,29.99
0.084126984,78.0,3,7.0,20,29.96
0.201587302,72.0,3,20.0,20,29.86
0.487301587,90.0,4,21.0,20,29.75
0.773015873,87.0,3,13.0,20,29.85
1.058730159,86.0,2,11.0,20,29.94
0.944267516,80.0,3,9.0,29,29.98
0.657643312,83.0,3,5.0,29,30.01
0.371019108,80.0,2,11.0,29,30.06
0.084394904,69.0,3,13.0,29,30.13
0.2022292989999999,55.0,3,18.0,29,30.12
0.4888535029999999,64.0,3,22.0,29,30.13
0.7754777070000001,72.0,1,16.0,29,30.17
1.0621019109999998,74.0,1,11.0,29,30.19
0.947284345,74.0,0,6.0,30,30.22
0.659744409,83.0,0,0.0,30,30.22
0.372204473,89.0,2,3.0,30,30.23
0.084664537,67.0,3,3.0,30,30.27
0.2028753989999999,56.0,3,5.0,30,30.25
0.490415335,52.0,4,8.0,30,30.25
0.777955272,58.0,4,7.0,30,30.25
1.065495208,62.0,4,0.0,30,30.27
0.950320513,62.0,3,3.0,30,30.28
0.6618589739999999,72.0,2,0.0,30,30.29
0.373397436,80.0,1,5.0,30,30.33
0.084935897,62.0,0,8.0,30,30.35
0.203525641,54.0,1,0.0,30,30.3
0.491987179,63.0,0,14.0,30,30.26
0.7804487179999999,78.0,0,7.0,30,30.26
1.068910256,93.0,0,5.0,30,30.26
0.953376206,86.0,0,0.0,30,30.24
0.663987138,90.0,0,0.0,30,30.24
0.374598071,96.0,1,0.0,30,30.22
0.085209003,84.0,0,3.0,30,30.22
0.204180064,75.0,0,0.0,30,30.16
0.493569132,55.0,1,11.0,30,30.11
0.7829581990000001,87.0,1,15.0,30,30.12
1.072347267,87.0,0,7.0,30,30.11
0.956521739,90.0,1,10.0,27,30.11
0.666666667,90.0,1,9.0,27,30.08
0.3768115939999999,93.0,3,0.0,27,30.06
0.086956522,81.0,4,7.0,27,30.06
0.202898551,84.0,4,9.0,27,29.98
0.492753623,93.0,4,10.0,27,29.93
0.7826086959999999,93.0,4,16.0,27,29.91
1.072463768,86.0,3,15.0,27,29.88
0.959612278,83.0,3,23.0,28,29.87
0.668820679,83.0,3,24.0,28,29.85
0.378029079,83.0,2,21.0,28,29.86
0.08723748,75.0,2,14.0,28,29.88
0.20355412,70.0,2,20.0,28,29.87
0.4943457189999999,78.0,3,15.0,28,29.87
0.785137318,83.0,2,15.0,28,29.91
1.075928918,83.0,2,25.0,28,29.96
0.962722853,86.0,1,11.0,28,29.98
0.670988655,90.0,1,5.0,28,30.02
0.379254457,90.0,3,9.0,28,30.07
0.087520259,72.0,3,9.0,28,30.09
0.204213938,65.0,3,14.0,28,30.06
0.495948136,70.0,3,9.0,28,30.07
0.7876823340000001,78.0,3,9.0,28,30.09
1.079416532,83.0,3,9.0,28,30.13
0.965853659,90.0,3,9.0,28,30.16
0.673170732,96.0,4,7.0,28,30.17
0.380487805,86.0,3,7.0,28,30.21
0.087804878,75.0,3,10.0,28,30.27
0.2048780489999999,72.0,3,10.0,28,30.24
0.497560976,72.0,3,15.0,28,30.24
0.790243902,72.0,3,11.0,28,30.27
1.082926829,80.0,3,10.0,28,30.27
0.969004894,93.0,4,6.0,28,30.28
0.675367047,96.0,4,8.0,28,30.27
0.381729201,87.0,4,0.0,28,30.3
0.088091354,87.0,4,5.0,28,30.32
0.205546493,84.0,3,3.0,28,30.26
0.499184339,87.0,3,16.0,28,30.21
0.792822186,93.0,3,8.0,28,30.21
1.086460033,93.0,2,0.0,28,30.23
0.972176759,93.0,1,0.0,28,30.23
0.6775777409999999,96.0,2,0.0,28,30.22
0.3829787229999999,96.0,1,0.0,28,30.22
0.088379705,93.0,1,5.0,28,30.23
0.206219313,63.0,1,9.0,28,30.16
0.5008183310000001,75.0,1,20.0,28,30.11
0.795417349,78.0,0,10.0,28,30.1
1.090016367,87.0,0,8.0,28,30.1
0.973770492,90.0,0,3.0,10,30.1
0.678688525,93.0,0,0.0,10,30.08
0.383606557,86.0,0,0.0,10,30.12
0.08852459,52.0,0,7.0,10,30.14
0.206557377,40.0,0,6.0,10,30.07
0.501639344,36.5,1,7.0,10,30.04
0.796721311,38.0,0,9.0,10,30.06
1.091803279,47.0,1,9.0,10,30.08
0.978583196,45.0,1,11.0,14,30.1
0.6820428340000001,54.0,1,8.0,14,30.1
0.385502471,54.0,1,8.0,14,30.12
0.088962109,36.5,0,7.0,14,30.14
0.207578254,39.0,0,3.0,14,30.08
0.504118616,36.5,1,0.0,14,30.05
0.800658979,38.0,1,0.0,14,30.07
1.097199341,48.0,0,3.0,14,30.07
